网站名,品类,商家名称,地址,评分,人均消费,评论数,商圈
美团,美食,麦大叔·福建客家菜（东百中心MINI店）,鼓楼区八一七北路84号东百中心11楼A楼,4,62,1,东街口/三坊七巷
美团,美食,雍和会海鲜姿造（三坊七巷店）,鼓楼区光禄坊37号（近刘家大院）,5,109,22928,东街口/三坊七巷
美团,美食,小鱼小牛（东百中心店）,鼓楼区八一七北路东百中心A馆10楼（东街口地铁站C出口旁）,5,85,2209,东街口/三坊七巷
美团,美食,mua美式手工现做汉堡（三坊七巷塔巷店）,鼓楼区塔巷24号11段407A地号,5,66,405,东街口/三坊七巷
美团,美食,揽季锅物会（三坊七巷店）,鼓楼区三坊七巷澳门路28号,4.9,142,3753,东街口/三坊七巷
美团,美食,佳丽花园,鼓楼区南街街道营房里6号1-3层（澳门路石丐茶铺旁进停车场100米）,4.6,69,1533,东街口/三坊七巷
美团,美食,察禮士港式花胶鸡打边炉（三坊七巷店）,鼓楼区光禄坊66号,4.5,90,0,东街口/三坊七巷
美团,美食,阿弥陀佛珍素馆（三坊七巷店）,鼓楼区三坊七巷通湖路251号正祥望园（消防博物馆与通湖公寓交汇处正对面）,4.9,155,834,东街口/三坊七巷
美团,美食,冒鲜族火锅冒菜（鼓东路店）,鼓楼区福州市鼓楼区尚宾路26-2（尚宾路牛先生碳烤店旁，往停车场里看）,5,20,150,东街口/三坊七巷
美团,美食,茶沸君（三坊七巷店）,鼓楼区吉庇巷吉庇路35号,3,15,1,东街口/三坊七巷
美团,美食,CoCo都可（南后店）,鼓楼区南后街133号三坊七9号店面,4.6,13,266,东街口/三坊七巷
美团,美食,薯战薯决,鼓楼区杨桥东路东百大厦负二层,4.9,17,109,东街口/三坊七巷
美团,美食,EaseDay 壹直咖啡（三坊七巷店）,鼓楼区光禄坊53号（光禄坊与通湖路交叉口）,4.2,83,26,东街口/三坊七巷
美团,美食,大山料理,鼓楼区东泰路184号（碧玉花园）,4.7,34,782,东街口/三坊七巷
美团,美食,旗袍咖啡（三坊七巷店）,鼓楼区三坊七巷吉庇巷78号,5,40,465,东街口/三坊七巷
美团,美食,大头呆金汤花胶鸡（斗西店）,鼓楼区斗西路10-27号 西营里珠宝古玩城一楼,4.1,46,7,东街口/三坊七巷
美团,美食,聚福园,鼓楼区乌山路35号茂泰大楼10店A间,4.9,12,63,东街口/三坊七巷
美团,美食,华莱士（冠亚店）,鼓楼区八一七北路冠亚广场3座9号店面（近乌山路）,4.2,18,2526,东街口/三坊七巷
